商品编号,售价,会员价
10001,56.0,50.4
10002,58.0,52.2
10003,50.0,45.0
10004,50.0,45.0
10005,50.0,45.0
10006,34.0,30.6
10007,34.0,30.6
10008,34.0,30.6
10009,56.0,50.4
10010,56.0,50.4
10011,30.0,27.0
10012,60.0,54.0
10013,56.0,50.4
10014,60.0,54.0
10015,60.0,54.0
10016,74.0,66.6
10017,24.0,21.6
10018,90.0,81.0
10019,90.0,81.0
10020,2.0,1.8
10021,48.0,43.2
10022,54.0,48.6
10023,2.0,1.8
10024,16.0,14.4
10025,2.0,1.8
10026,34.0,30.6
10027,40.0,36.0
10028,50.0,45.0
10029,50.0,45.0
10030,50.0,45.0
10031,56.0,50.4
10032,56.0,50.4
10033,4.0,3.6
10034,50.0,45.0
10035,50.0,45.0
10036,50.0,45.0
10037,50.0,45.0
10038,50.0,45.0
10039,50.0,45.0
10040,74.0,66.6
10041,40.0,36.0
10042,2.0,1.8
10043,96.0,86.4
10044,96.0,86.4
10045,57.6,51.8
10046,137.8,124.0
10047,157.8,142.0
10048,41.8,37.6
10049,3.8,3.4
10050,43.6,39.2
10051,193.6,174.2
10052,137.6,123.8
10053,39.6,35.6
10054,55.2,49.7
10055,49.6,44.6
10056,131.6,118.4
10057,71.6,64.4
10058,75.6,68.0
10059,65.6,59.0
10060,75.6,68.0
10061,39.6,35.6
10062,119.6,107.6
20001,6.8,6.8
20002,6.8,6.8
20003,6.8,6.8
20004,6.8,6.8
20005,6.8,6.8
20006,6.5,6.5
20007,6.5,6.5
20008,6.5,6.5
20009,6.5,6.5
20010,6.5,6.5
20011,6.5,6.5
20012,6.5,6.5
20013,6.5,6.5
20014,6.5,6.5
20015,6.5,6.5
20016,6.5,6.5
20017,6.5,6.5
20018,2.0,2.0
20019,9.9,9.9
20020,9.9,9.9
20021,48.0,48.0
20022,48.0,48.0
20023,3.0,3.0
20024,3.0,3.0
20025,3.0,3.0
20026,4.0,4.0
20027,6.5,6.5
20028,6.5,6.5
20029,6.5,6.5
20030,6.5,6.5
20031,6.5,6.5
20032,6.5,6.5
20033,18.0,18.0
20034,18.0,18.0
20035,18.0,18.0
20036,8.5,8.5
20037,100.0,100.0
20038,100.0,100.0
20039,100.0,100.0
20040,6.5,6.5
20041,15.0,15.0
20042,15.0,15.0
20043,6.5,6.5
20044,6.5,6.5
20045,6.5,6.5
20046,3.0,3.0
20047,5.5,5.5
20048,13.0,13.0
20049,5.0,5.0
20050,5.0,5.0
20052,4.0,4.0
20053,5.0,5.0
20054,5.0,5.0
20055,5.0,5.0
20056,5.0,5.0
20057,5.0,5.0
20058,5.0,5.0
20059,5.0,5.0
20060,5.0,5.0
20061,4.0,4.0
20062,13.0,13.0
20063,13.0,13.0
20064,13.0,13.0
20065,13.0,13.0
20066,13.0,13.0
20067,4.0,4.0
20068,6.5,6.5
30001,18.0,16.2
30002,18.0,16.2
30003,18.0,16.2
30004,7.8,7.0
30005,7.8,7.0
30006,5.0,4.5
30007,5.0,4.5
30008,5.0,4.5
30009,3.5,3.1
30010,3.5,3.1
40001,12.0,10.8
40002,15.0,13.5
40003,14.9,13.4
40004,13.8,12.4
40005,13.8,12.4
40006,13.8,12.4
40007,9.9,8.9
40008,18.8,16.9
40009,18.8,16.9
40010,18.8,16.9
40011,18.8,16.9
40012,18.8,16.9
40013,27.9,25.1
40014,27.9,25.1
40015,27.9,25.1
40016,27.9,25.1
40017,8.5,7.7
40018,8.5,7.7
40019,8.5,7.7
40020,7.9,7.1
40021,7.9,7.1
40022,12.0,10.8
40023,12.0,10.8
40024,12.0,10.8
40025,9.9,8.9
40026,9.9,8.9
40027,9.9,8.9
40028,9.9,8.9
40029,14.5,13.1
40030,14.5,13.1
40031,14.9,13.4
40032,9.9,8.9
40033,14.5,13.1
40034,9.9,8.9
40035,9.9,8.9
40036,9.9,8.9
40037,9.9,8.9
40038,8.9,8.0
40040,9.9,8.9
40041,8.5,7.7
40050,13.8,12.4
40051,3.0,2.7
40052,3.0,2.7
40053,3.0,2.7
40054,13.8,12.4
40055,13.8,12.4
40060,12.0,10.8
40061,6.9,6.2
40063,6.9,6.2
40064,6.9,6.2
40065,6.9,6.2
40066,9.9,8.9
40067,9.9,8.9
40068,6.9,6.2
40069,13.8,12.4
