商品编号,条形码,商口名称,类型,商品规格,单位,进价,售价,会员价,产地,描述,有货,图片,推荐,排名,新品
10001,,瑶红凤爪,1,,公斤,38,56,56,中国,,,10001.png,,9999,no
10002,,特珍脆笋,1,,公斤,30,58,58,中国,,,10002.jpg,,9999,no
10003,,国圣金针菇,1,,公斤,26,50,50,中国,,,10003.jpg,,9999,no
10004,,国圣脆笋,1,,公斤,22,50,50,中国,,,10004.jpg,,9999,no
10005,,国圣杏鲍菇,1,,公斤,26,50,50,中国,,,10005.jpg,,9999,no
10006,,六六果坊香辣功夫豆干,1,,公斤,25,34,34,,,,,,9999,no
10007,,六六果坊烧烤功夫豆干,1,,公斤,25,34,34,,,,,,9999,no
10008,,鸽鸽豆角干,1,,公斤,25,34,34,中国,,,10008.jpg,,9999,no
10009,,贤嫂鱼仔野山椒,1,,公斤,42,56,56,中国,,,10009.png,,9999,no
10010,,贤嫂鱼仔香辣,1,,公斤,42,56,56,中国,,,10010.png,,9999,no
10011,,国圣海带丝,1,,公斤,22,30,30,中国,,,10011.jpg,,9999,no
10012,,千岛山脆骨香辣,1,,公斤,46,60,59.8,中国,,,10012.jpg,,9999,no
10013,,黄蓉淘气蛋五香,1,,公斤,33,56,56,中国,,,10013.jpg,,9999,no
10014,,海望章鱼丸子,1,,公斤,46,60,59.8,中国,,,10014.jpg,,9999,no
10015,,瑶红猪蹄,1,,公斤,46,60,59.8,中国,,,10015.jpg,,9999,no
10016,,尚上坊牛板筋麻辣,1,,公斤,56,74,74,中国,,,10016.png,,9999,no
10017,,六六果坊青豆,1,,公斤,16,24,24,中国,,,10017.jpg,,9999,no
10018,,高品轩沙嗲肉粒,1,,公斤,70,90,90,中国,,,10018.jpg,,9999,no
10019,,高品轩香辣肉粒,1,,公斤,70,90,90,中国,,,10019.jpg,,9999,no
10020,,手撕面包,1,,个,1,2,2,,,,,,9999,no
10021,,鸡蛋干,1,,公斤,36,48,48,,,,,,9999,no
10022,,鱿鱼,1,,公斤,41,54,54,,,,,,9999,no
10023,,肉松条,1,,个,0.72,2,2,,,,,,9999,no
10024,,山楂,1,,公斤,12,16,16,,,,,,9999,no
10025,,香蕉片,1,,个,1,2,2,,,,,,9999,no
10026,,双仔辣条,1,,公斤,16,34,34,,,,,,9999,no
10027,,话梅西瓜子,1,,公斤,30,40,40,,,,,,9999,no
10028,6924647800622,洋鹌鹑蛋,1,,公斤,33,50,50,,,,,,9999,no
10029,,神丹馋宝宝鹌鹑蛋,1,,公斤,36,50,50,,,,,,9999,no
10030,,来福法式薄脆夹心饼,1,,公斤,12.5,50,50,,,,,,9999,no
10031,6928079808119,瘦瘦梅话梅,1,,公斤,28,56,56,,,,,,9999,no
10032,6928079808157,瘦瘦梅杨梅,1,,公斤,28,56,56,,,,,,9999,no
10033,,榴莲饼,1,,个,2.38,4,4,,,,,,9999,no
10034,,哎哟咪提子干,1,,公斤,12,50,50,台湾,,1,10034.jpg,,9999,no
10035,,哎哟咪圣女果干,1,,公斤,12,50,50,台湾,,1,10035.jpg,,9999,no
10036,,哎哟咪西域酸梅,1,,公斤,12,50,50,台湾,,1,10036.jpg,,9999,no
10037,,哎哟咪殷桃李干,1,,公斤,12,50,50,台湾,,1,10037.jpg,,9999,no
10038,,哎哟咪奇异果干,1,,公斤,12,50,50,台湾,,1,10038.jpg,,9999,no
10039,,哎哟咪无核葡萄干,1,,公斤,12,50,50,台湾,,1,10039.jpg,,9999,no
10040,,鸡腿,1,,公斤,56,74,74,,,,,,9999,no
10041,,六六珍珠瓜子,1,,公斤,20,40,40,,,,,,9999,no
10042,,奶片,1,,个,0.94,2,2,,,,,,9999,no
10043,,牛菌干,1,,公斤,49,96,96,,,,,,9999,no
10044,,鸡纵菌,1,,公斤,49,96,96,,,,,,9999,no
10045,,小鱼不乖通心粉,1,,公斤,28,57.6,57.6,,,,,,9999,no
10046,,大小姐松子,1,,公斤,78,137.8,137.8,,,,,,9999,no
10047,,大小姐开心果,1,,公斤,84,157.8,157.8,,,,,,9999,no
10048,,炒米,1,,公斤,22,41.8,41.8,,,,,,9999,no
10049,,炒鱼片,1,,个,1.8,3.8,3.8,,,,,,9999,no
10050,,酥香阁原味瓜子仁,1,,公斤,17,43.6,43.6,,,,,,9999,no
10051,,美尚宫廷阿胶糕,1,,公斤,96,193.6,193.6,,,,,,9999,no
10052,,力诚小肉枣肠,1,,公斤,40,137.6,137.6,,,,,,9999,no
10053,,开袋白芸豆,1,,公斤,20,39.6,39.6,,,,,,9999,no
