商品编号,条形码,商口名称,类型,商品规格,单位,进价,售价,会员价,产地,描述,有货,图片,推荐,排名,新品
10063,,素牛排,01,,公斤,0,36,30,中国,"",1,10063.jpg,"",9999,yes
10064,,黑米蒸蛋糕,01,,个,1.2,2,2,中国,"",1,10064.jpg,"",9999,yes
10065,,麻薯,01,,个,1.2,2,2,中国,"",1,10065.jpg,"",9999,yes
20069,8855796000459,夜猫加气酒（柠檬味）,02,300ml,瓶,5,12.5,9.9,中国,"",1,20069.jpg,"",9999,yes
20070,8855796000312,夜猫加气酒（蜜桃味）,02,300ml,瓶,5,12.5,9.9,中国,"",1,20070.jpg,"",9999,yes
20071,8855796000442,夜猫加气酒（苹果味）,02,300ml,瓶,5,12.5,9.9,中国,"",1,20071.jpg,"",9999,yes
20072,8855796000435,夜猫加气酒（香橙味）,02,300ml,瓶,5,12.5,9.9,中国,"",1,20072.jpg,"",9999,yes
20073,8855796001111,夜猫加气酒（樱桃味）,02,300ml,瓶,5,12.5,9.9,中国,"",1,20073.jpg,"",9999,yes
20074,8855796001036,夜猫加气酒（白葡萄味）,02,300ml,瓶,5,12.5,9.9,中国,"",1,20074.jpg,"",9999,yes
20075,6920202888883,红牛,02,250ml,瓶,4.75,6,6,中国,"",1,20075.jpg,"",9999,yes
20076,6925303723910,大红茶,02,1L,瓶,3,4,4,中国,"",1,20076.jpg,"",9999,yes
20077,8850228002971,泰国红牛,02,100ml,瓶,2.8,5,5,中国,"",1,20077.jpg,"",9999,yes
20097,6924254686602,欢乐家椰汁,02,245克,个,3.75,5,5,中国,"",1,20097.jpg,"",9999,yes
20098,6900067110206,味动力原味,02,338ML,个,4.17,6,6,中国,"",1,20098.jpg,"",9999,yes
40080,8885008858257,韩国竹马故友黑芝麻煎饼卷,04,60g,瓶,5,12,12,中国,"",1,40080.jpg,"",9999,yes
40081,8885008858240,韩国竹马故友海苔煎饼卷,04,60g,个,5,12,12,中国,"",1,40081.jpg,"",9999,yes
40082,8885008858264,韩国竹马故友椰子味煎饼卷,04,60g,罐,5,12,12,中国,"",1,40082.jpg,"",9999,yes
40083,6930570706894,玄米馆蛋奶味,04,90g,盒,5,12,12,中国,"",1,40083.jpg,"",9999,yes
40084,6930570706887,玄米馆海苔味,04,90g,盒,5,12,12,中国,"",1,40084.jpg,"",9999,yes
40085,6920622602007,一根葱-香葱味,04,128g,袋,2.5,4.5,4.5,中国,"",1,40085.jpg,"",9999,yes
40086,6920622665439,一根葱-烧烤味,04,128g,袋,2.5,4.5,4.5,中国,"",1,40086.jpg,"",9999,yes
40094,4711148356183,河马莉特脆薯条-烧烤味,04,150g,瓶,8.5,14.9,14.9,中国,"",1,40094.jpg,"",9999,yes
40100,6947929616377,抹茶曲奇,04,68g,盒,2,5,5,中国,"",1,40100.jpg,"",9999,yes
50025,648436100583,御鲜章鱼海鲜拉面,05,120g,包,5.5,7.5,7.5,中国,"",1,50025.jpg,"",9999,yes
60010,4712826828015,美馔麻花-黑糖,06,250g,包,10,18,18,中国,"",1,60010.jpg,"",9999,yes
60011,4712826828008,美馔麻花-蜂蜜,06,250g,包,10,18,18,中国,"",1,60011.jpg,"",9999,yes
60012,9588800331186,车厘哥夫蛋卷（六宝）,06,250g,盒,9,24,24,中国,"",1,60012.jpg,"",9999,yes
60013,9588800330387,车厘哥夫蛋卷（紫菜）,06,250g,个,9,24,24,中国,"",1,60013.jpg,"",9999,yes
60014,673367832197,雪之恋手造麻薯（芝麻味）,06,180g,包,6.5,9.6,9.6,中国,"",1,60014.jpg,"",9999,yes
60015,673367832098,雪之恋手造麻薯（芋头味）,06,180g,把,6.5,9.6,9.6,中国,"",1,60015.jpg,"",9999,yes
60016,673367832180,雪之恋手造麻薯（红豆味）,06,180g,包,6.5,9.6,9.6,中国,"",1,60016.jpg,"",9999,yes
60017,071923722850,好客佳玉米脆脆片,06,198克,盒,14.5,25,25,中国,"",1,60017.jpg,"",9999,yes
60018,071923722881,好客佳提子麦片,06,198克,个,14.5,28,28,中国,"",1,60018.jpg,"",9999,yes
60019,071923722874,好客佳蜂蜜果仁燕麦圈,06,198克,个,14.5,28,28,中国,"",1,60019.jpg,"",9999,yes
60020,071923722898,好客佳糖霜麦片,06,198克,个,14.5,28,28,中国,"",1,60020.jpg,"",9999,yes
70009,8993175537629,丽芝士大奶酪玉米棒,07,20g,个,0.85,2,2,中国,"",1,70009.jpg,"",9999,yes
70010,8801077267608,海地村鳕鱼肠,07,40g,盒,4.7,6.7,6.7,中国,"",1,70010.jpg,"",9999,yes
70011,4800092553011,好味草莓夹心甜甜圈,07,40克,个,1.8,3.8,3.8,中国,"",1,70011.jpg,"",9999,yes
70012,4800092552779,好味奶油夹心甜甜圈,07,40克,个,1.8,3.8,3.8,中国,"",1,70012.jpg,"",9999,yes
80030,4002017089005,佳莉敏德国洋甘菊护手霜,08,10ml*3,个,26.4,48,48,中国,"",1,80030.jpg,"",9999,yes
