code,ranking
10001,9999
10002,9999
10003,9999
10004,9999
10005,9999
10006,9999
10007,9999
10008,9999
10009,9999
10010,9999
10011,9999
10012,9999
10013,9999
10014,9999
10015,9999
10016,9999
10017,9999
10018,9999
10019,9999
10020,9999
10021,9999
10022,9999
10023,9999
10024,9999
10025,9999
10026,9999
10027,9999
10028,9999
10029,9999
10030,9999
10031,9999
10032,9999
10033,9999
10034,9999
10035,9999
10036,9999
10037,9999
10038,9999
10039,9999
10040,9999
10041,9999
10042,9999
10043,9999
10044,9999
10045,9999
10046,9999
10047,9999
10048,9999
10049,9999
10050,9999
10051,9999
10052,9999
10053,9999
10054,9999
10055,9999
10056,9999
10057,9999
10058,9999
10059,9999
10060,9999
10061,9999
10062,9999
20001,9999
20002,9999
20003,9999
20004,9999
20005,9999
20006,9999
20007,9999
20008,9999
20009,9999
20010,9999
20011,9999
20012,9999
20013,9999
20014,9999
20015,9999
20016,9999
20017,9999
20018,9999
20019,9999
20020,9999
20021,9999
20022,9999
20023,9999
20024,9999
20025,9999
20026,9999
20027,9999
20028,9999
20029,9999
20030,9999
20031,9999
20032,9999
20033,9999
20034,9999
20035,9999
20036,1
20037,9999
20038,9999
20039,9999
20040,9999
20041,9999
20042,9999
20043,9999
20044,9999
20045,9999
20046,9999
20047,9999
20048,9999
20049,9999
20050,9999
20052,9999
20053,1
20054,9999
20055,9999
20056,1
20057,1
20058,1
20059,1
20060,8
20061,9999
20062,1
20063,9999
20064,9999
20065,9999
20066,1
20067,9999
20068,1
30001,1
30002,1
30003,1
30004,9999
30005,9999
30006,9999
30007,9999
30008,9999
30009,9999
30010,9999
40001,1
40002,9999
40003,9999
40004,1
40005,9999
40006,9999
40007,9999
40008,9999
40009,9999
40010,9999
40011,9999
40012,9999
40013,9999
40014,9999
40015,9999
40016,9999
40017,9999
40018,9999
40019,1
40020,9999
40021,9999
40022,9999
40023,9
40024,9999
40025,9999
40026,9999
40027,9999
40028,1
40029,9999
40030,1
40031,1
40032,9999
40033,9999
40034,9999
40035,9999
40036,9999
40037,1
40038,9999
40040,9999
40041,9999
40050,9999
40051,9999
40052,9999
40053,9999
40054,9999
40055,9999
40060,9999
40061,9999
