code,stock
10001,
10034,1
10035,1
10036,1
10037,1
10038,1
10039,1
10062,1
20001,1
20002,1
20003,1
20004,1
20005,1
20018,1
20020,1
20026,1
20036,1
20046,1
20053,1
20056,1
20057,1
20058,1
20059,1
20060,1
20061,1
20062,1
20063,1
20064,1
20065,1
20066,1
20067,1
20068,1
30001,1
40001,1
40002,1
40004,1
40005,1
40006,1
40012,0
40014,1
40015,1
40019,1
40020,1
40021,1
40022,1
40023,1
40024,1
40025,1
40026,1
40027,1
40028,1
40029,1
40030,1
40031,1
40032,1
40033,1
40035,1
40036,1
40037,1
40040,0
40041,1
40051,1
40052,1
40053,1
40054,1
40055,1
40060,0
40061,0
40063,0
40064,0
40065,0
40066,0
40067,0
40068,0
40069,1
40070,1
40071,1
40072,1
40078,1
40087,1
40088,1
40089,1
40090,1
40091,1
40092,1
50001,1
50002,1
50003,1
50004,1
50005,1
50006,1
50007,1
50008,0
50009,1
50010,1
50011,0
50012,1
50013,0
50014,1
50015,1
50016,0
50017,1
50018,0
50019,0
50020,1
50021,1
50022,1
50023,1
50024,1
60001,0
60002,0
60003,0
60004,0
60005,0
60006,1
60007,1
60008,1
60009,0
70001,1
70002,1
70005,1
70007,1
70008,1
80001,1
80002,1
80003,1
80004,1
80005,1
80006,1
80007,1
80008,1
80009,1
80010,1
80011,1
80012,0
80013,0
80014,0
80015,1
80016,1
80017,1
80018,0
80019,0
80020,1
80021,1
80022,0
80023,1
80024,0
80025,1
80026,1
80027,1
80028,1
80029,1
90001,1
90002,1
90009,1
90010,1
90011,1
90012,1
90013,0
90014,0
90015,1
90016,1
90017,1
90019,1
90020,0
90021,1
90022,1
90023,1
90024,0
90025,1
90026,0
90027,1
90040,0
90041,0
90042,1
90043,1
90044,1
90045,1
90046,1
90047,1
90048,1
90049,0
90050,0
90051,0
90052,0
90053,0
90055,0
90056,0
90057,0
90058,0
90059,0
90060,0
90061,0
90062,0
90063,0
90064,1
90065,1
90066,1
90067,0
90068,0
90069,1
90070,0
90071,1
90072,1
90074,1
90075,1
90076,1
90077,1
90078,1
100001,0
100002,1
100003,1
100004,1
100005,1
100006,0
100007,0
100008,0
100009,1
100010,1
100011,1
100012,1
100013,1
100014,1
100015,1
100016,1
100017,0
100018,0
100020,1
100021,1
100022,0
100023,1
100024,1
100025,1
100026,1
100027,1
100028,1
100029,1
100030,1
100031,1
100032,1
100033,1
100034,0
100035,1
100036,1
100037,1
100038,0
100039,1
100040,1
100041,1
100042,1
100043,1
100044,1
100045,0
100046,1
100047,1
100048,1
100049,1
110001,1
110002,1
110003,1
110004,0
120001,1
120002,1
120003,1
120004,1
120005,1
120006,1
120007,1
120008,1
120009,1
120010,1
120011,1
120012,0
120013,0
120014,0
120015,1
120016,1
120017,1
120018,1
120019,1
120020,1
120021,0
120022,1
120023,1
120024,1
120025,1
120026,1
120027,1
120028,1
120029,1
120030,1
120031,1
120032,1
130001,1
130002,1
130003,1
130004,1
130005,1
130006,1
130007,1
140001,1
140002,1
160001,0
160002,0
160003,0
160004,1
160005,0
180001,0
180002,0
180003,0
190001,0
190002,1
190003,1
190004,0
190005,1
190006,1
210001,1
210002,1
